id,title,description,date_creation,location,latitude,longitude,company,url,contract_type,source
194JMRR,Data analyste ou ingénieur Data en apprentissage (H/F),"Contrat d'apprentissage 12 mois

Vous êtes intéressé(e) par le numérique, les nouveaux usages et leurs applications dans le domaine de la santé, et recherchez une alternance en tant qu'ingénieur data ou data analyste ? Rejoignez-nous !

Le Groupement Régional e-Santé Bretagne 

Créé en 2007 par des fédérations de professionnels et d'établissements de santé, le GCS e-Santé Bretagne est un organisme régional à but non lucratif, qui accompagne tous les professionnels de santé bretons dans la mise en place et l'utilisation de solutions numériques adaptées.
La e-Santé vit aujourd'hui un tournant majeur ! À l'écoute des besoins de son territoire, le GCS déploie des solutions de e-santé permettant de faciliter les échanges entre professionnels et ainsi, la coordination du parcours de soin du patient.

Vous voulez en savoir plus, suivez le lien : https://www.esante-bretagne.fr/nous-connaitre/notre-organisation/

La valorisation des données prend aujourd'hui une place stratégique dans nos activités, en soutien à la gouvernance, à l'analyse d'impact et à l'amélioration continue de nos services numériques.

Vos missions
En tant qu'alternant(e) Data Analyste / Ingénieur(e) Data, vous participerez activement à la fiabilisation, à l'optimisation et à l'automatisation de notre chaîne de
traitement de données, ainsi qu'à la création d'indicateurs et tableaux de bord pour piloter l'activité. 
 - Vous participez à la maintenance et à l'évolution des pipelines de traitement de données (ETL/ELT)
 - Vous assurez le contrôle de qualité et de cohérence des données à chaque étape
 - Vous automatisez les processus de transformation et de nettoyage de données
 - Vous concevez, mettez à jour et améliorez les tableaux de bord de pilotage (KPI,suivi d'activité.)
 - Vous collaborez avec les équipes métiers pour identifier les besoins et proposer des indicateurs pertinents
 - Vous contribuez à l'industrialisation et à la documentation de la plateforme de données

Les compétences
Vous préparez un diplôme de niveau Bac+3 à Bac+5 en informatique, data management, statistique, . vous serez intégré à la cellule Transformation et vous serez amené à travailler avec l'ensemble des acteurs du groupement.
Une bonne maitrise de SQL et des outils de data visualisation, une connaissance des principes d'ETL et de pipelines de données sont un plus.
Vous souhaitez développer vos compétences dans un environnement dynamique et d'intérêt général, vous faite preuve de rigueur, du sens du détail et d'analyse.
Organisé(e) et curieux(se), vous disposez d'une bonne capacité d'adaptation et de synthèse.

Les avantages
Jusqu'à 3 jours de télétravail par semaine
Titres restaurants

Nous vous remercions d'adresser un dossier (CV + lettre de motivation) à : recrutement@
esante-bretagne.fr",2025-06-24T17:07:41.651Z,,48.110899,-1.68365,GCS E-SANTE BRETAGNE,https://candidat.francetravail.fr/offres/recherche/detail/194JMRR,CDD,france_travail
194JJWD,Expert Data & Support Marketing (H/F),"Peters Surgical fait désormais partie d'Advanced Medical Solutions (AMS). Ensemble, nous développons, fabriquons et distribuons des adhésifs tissulaires, des sutures, des hémostats, des biocéramiques, des dispositifs de fixation interne, des produits d'étanchéité interne et des pansements pour le traitement des plaies. Notre travail quotidien consiste à améliorer la qualité des soins aux patients en contribuant à la réussite de la procédure chirurgicale et en développant des dispositifs médicaux performants et des services associés.

Leader mondial dans le domaine des dispositifs médicaux, AMS/PS emploie plus de 1500 personnes dans le monde et distribue ses produits dans plus de 90 pays.

Expert Data & Support Marketing
Bilingue Anglais

En tant qu'Expert Data & Support Marketing chez AMS, vous serez rattaché(e) au Responsable du Workstream portefeuille Janus.

Vos missions seront les suivantes : 

- Soutenir les responsables du portefeuille Janus
- Créer les contenus data nécessaires à partir des systèmes BI existants et analyser les données de façon à ce que les utilisateurs puissent comprendre les résultats et prendre des décisions
- Prendre en charge la gestion d'une base de données centrale Excel SKU-SKU comportant plusieurs centaines de milliers de points de données, outil clé pour le projet Janus
- Optimiser les données en alignement avec les objectifs définis du projet Janus
- Reporting et documentation, y compris la gestion et le contrôle des demandes de changements initiées
- Support pour les tâches marketing nécessaires

Responsabilités principales

- Être membre de l'équipe workstream du portefeuille Janus. Interagir également avec le Directeur Catégorie et le Directeur Marketing des catégories Suture, Clip, VTO. Collaborer avec d'autres workstreams Janus si nécessaire
- Travailler étroitement avec les responsables du portefeuille Janus pour les aider à remplir leurs missions et respecter leurs délais. Créer les contenus data demandés à partir du système BI et analyser les données pour permettre des prises de décision basées sur des chiffres et des faits
- Être responsable et leader de la base de données centrale Excel SKU-SKU (plusieurs centaines de milliers de points de données), outil clé du projet Janus. Collaborer avec l'IT pour transférer ce fichier Excel vers un outil IT plus stable et professionnel capable de gérer autant de données
- Optimiser les données conformément aux objectifs Janus : identifier et corriger erreurs ou incohérences en collaboration avec les responsables workstream, dans tous les endroits nécessaires, jusqu'à mise en place d'une solution IT finale. Éviter les inefficacités
- Capable de créer et lire des rapports et, si nécessaire, initier des demandes de changements pour corriger données et erreurs dans les systèmes ERP liés. Soutenir et contrôler la mise en œuvre de ces changements selon les processus définis
- Identifier et éliminer les désalignements, gérer les changements historiques non finalisés dans l'ERP. Initier les demandes de changement pour marquer les codes à supprimer si nécessaire
- Support pour les tâches marketing liées au projet Janus et au nouveau branding :

a. Création de brouillons de lettres clients
b. Pack shots & matériel photo
c. Impacts du rebranding des Sutures et CI
d. Mise à jour de contenu

 Diplôme de niveau Bachelor ou formation commerciale équivalente, ou expérience professionnelle dans l'industrie
 Compétences analytiques supérieures à la moyenne pour l'analyse du portefeuille suture (basée sur chiffres et faits)
 Maîtrise avancée de MS Office, notamment Excel très poussé et sensible aux détails
 Expertise dans l'utilisation de logiciels IT et applicatifs business basés sur navigateur
 Grande motivation personnelle, organisation rigoureuse, sens des responsabilités, fiabilité, durabilité, attitude positive « can do »,",2025-06-24T16:19:18.796Z,,48.836953,2.242538,PETERS SURGICAL,https://candidat.francetravail.fr/offres/recherche/detail/194JJWD,CDD,france_travail
194JCBZ,Data Analyst (H/F),"""La mission principale du consultant est d'intervenir sur le périmètre BI COGNOS du domaine Supply Chain (SCI).
Il devra prendre en charge la mise en œuvre des outils transverses de la solution de l'éditeur MANHATTAN, ainsi que les applications attenantes (WMOS, IFEE, MSF, WebSphere), en environnement AIX / Power 8 et 9.""

""Exploiter l'environnement existant en coordination avec l'AMOA et les zones, piloter les demandes des utilisateurs en s'appuyant sur l'éditeur, les équipes techniques internes, et l'hébergeur. 
Trouver des solutions aux problèmes techniques opérationnels.
Participer activement à la mise en œuvre de futures nouvelles versions de l'application. 
Développements de Reports, Event, et Jobs sous Cognos Analytics
La solution utilise plusieurs bases de données Oracle 11g et 12c. Le consultant devra être capable d'exécuter des requêtes en PL/SQL
Administrations des plateformes Cognos et créations d'utilisateurs (droits et sécurité)
Support niveau 3 ""

""Solution : SQUARE
Techno : SQL, Cognos, Oracle, bonnes connaissances générales du développement et de la technique
Zones : toutes les zones
""




",2025-06-24T14:48:28.474Z,,48.887702,2.304844,NELIA,https://candidat.francetravail.fr/offres/recherche/detail/194JCBZ,CDI,france_travail
194HXSJ,Data Manager Clinique Senior H/F (H/F),"Nous recherchons un Data Manager Clinique Senior H/F passionné et autonome, possédant une expertise approfondie de l'outil REDCap, pour une longue mission chez l'un de nos clients basé en Île-de-France. 

Principales responsabilités : 

 * Analyse des besoins des équipes de recherche et proposition de structures de projets adaptées dans REDCap.
 * Paramétrage complet de l'outil : création de formulaires (CRF), logiques conditionnelles, gestion des droits, mise en place de la randomisation si nécessaire, etc.
 * Être force de proposition sur les bonnes pratiques de recueil et de gestion des données cliniques dans REDCap.
 * Compétences solides en gestion de bases de données : modélisation, structuration des données d'études cliniques.
 * Maitrise des outils liés à la data clinique (SAS, R, SQL).
 * Accompagnement des utilisateurs dans la prise en main de REDCap via des sessions de formation, de la documentation, et du support ponctuel.


 * Expérience significative (minimum 5 ans) en tant que Data Manager Clinique
 * Maitrise confirmée de l'utilisation et du paramétrage de REDCap.
 * Connaissance approfondie des enjeux et processus de la recherche clinique : GCP, protocole, CRF, etc.
 * Aisance pédagogique pour former des utilisateurs aux niveaux variés.
 * Autonomie, rigueur et bon relationnel indispensables.
 * La connaissance d'autres outils de gestion de données cliniques (eCRF, EDC.) constitue un atout.
 * La maitrise du logiciel EasyMedStat est souhaitée.
 * Maîtrise du français et de l'anglais (écrit et oral).



 * Indemnité repas,
 * mutuelle d'entreprise familiale,
 * centre de formation interne,
 * intégration et suivi personnalisé du consultant, 
 * prime vacances d'été,
 * carte cadeau noël,
 * after work ponctuel.",2025-06-24T13:56:47.085Z,,48.84162,2.295289,TEMPOPHARMA,https://candidat.francetravail.fr/offres/recherche/detail/194HXSJ,CDI,france_travail
194HRVL,Data engineer (H/F),"Au sein des équipes et sous la responsabilité du manager, vous avez pour principales missions
Faire rétroingénierie sur jobs développés avec l outil Data Services
Re développer en SQL et avec notre outil de BI MDA les traitements actuellement réalisés via Data Services
De formation informatique
Vous justifiez d une bonne expérience en développement SAP BO Data Services
Vous maitrisez le SQL et les bases de données
La connaissance des données Ressources Humaines et particulièrement en environnement hospitalier serait un plus

faire évoluer son outil BI en remplaçant les alimentations/connecteurs depuis l'infocentre par des alimentations/connecteurs depuis la production.
Ce travail nécessite de comprendre les traitements actuels réalisés via SAP BO Data Services afin de les redévelopper (en SQL et avec l outil de la société) en accédant directement aux tables de production.
Vous travaillerez de manière étroite avec l ingénieur BI en charge du domaine RH
Garant de l'accès qualitatif aux sources de données, le Data Engineer s assure de la maitrise de la donnée et est garant de la qualité de son utilisation afin d'en faciliter l'exploitation par les équipes.
Son périmètre d'intervention est axe sur les systèmes applicatifs autour de la gestion de la donnée et du traitement, et sur les plateformes Big Data, IoT,
Il assure la supervision et l'intégration des données de diverse nature qui proviennent de ces sources multiples et vérifie la qualité des données qui entrent dans le Data Lake.
5 REMOTE 2 JOURS SUR SITE",2025-06-24T11:32:41.112Z,,44.851897,-0.587877,SOGIA SYSTEME,https://candidat.francetravail.fr/offres/recherche/detail/194HRVL,CDI,france_travail
194HJWN,Data Scientist Junior H/F (H/F),"Au cœur d'un Groupe où tous les métiers ont un sens, nous recherchons notre futur Data Scientist H/F.

 

En accord avec les orientations stratégiques du Groupe, le Data Scientist aura pour missions de contribuer aux déploiements de projets de valorisation de la data. Vous travaillez conjointement avec les équipes métiers/de la Direction Asset Supply pour le bon déroulement des projets.

Pourquoi nous rejoindre ?

Un environnement dynamique et stimulant au sein du Groupe avec l'ambition de devenir le leader mondial de la location frigorifique durable.
Une équipe dynamique prête à relever de nouveaux challenges au quotidien.
Des opportunités de développement et de formation continue, à travers un outil intégré d'E-Learning.
Des avantages sociaux, notamment : carte titres restaurant, mutuelle familiale, prime de participation, prime de cooptation, chèques vacances, comité social d'entreprise, jours de repos compensatoires, CET, Plan Épargne Entreprise, PERCO, aide au logement, accord de télétravail.
Vos principales missions seront :

En tant que Data Scientist, doublé d'une casquette de Data Analyst avec une capacité à animer une communauté de « Data Champions », vous aurez notamment pour responsabilité de :

1. Extraction et structuration des données 

Comprendre la problématique business du client (interne) et participer à sa formalisation avec les équipes métiers.
Participer à la définition du cas d'usage Data Science en collaboration avec l'équipe métier.
Formaliser la demande d'extraction de données et interagir avec les équipes techniques internes (et/ou externes).
Préparer les données pour la modélisation (nettoyage, complétion, etc.).
Exprimer les besoins en données (cahier des charges) pour la confection et la maintenance d'un entrepôt de données (datamarts) permettant de conserver et d'utiliser régulièrement les données
Maitriser la qualité des données tout au long de leur traitement
2. Analyse et exploration des données

Explorer les données pour valider que le jeu de données contient les données d'entrainement adéquates
Définir, entrainer et évaluer la performance de modèles de Data Science.
Apporter une réponse au cas d'usage en mettant en évidence le degré de confiance dans la réponse ainsi que les limites de l'analyse.
Réaliser des tableaux de bord ou des outils de reporting industrialisés
Documenter les travaux.
3. Communication avec les équipes clientes (internes)

Communication continue au travers de l'animation de la « communauté des Data Champions »
Cadrer/Participer aux ateliers d'expression des besoins internes
Comprendre les problématiques métiers et les traduire de manière analytique
Synthétiser et vulgariser les données afin de les rendre accessibles aux dirigeants du Groupe ainsi qu'aux services concernés
4. Veille technologique sur les outils d'analyse de données.

Participer à l'amélioration constante du système de récupération des données client afin d'optimiser et d'agrandir le stock de données possédé par l'entreprise ;
Nourrir la veille et la connaissance des évolutions technologiques et organisationnelles du marché
Suivre l'évolution de l'état de l'art dans le domaine de la Data Science.
Quel est le profil recherché pour ce poste ?

Compétences requises : 

Analyse des données (statistiques, probabilités, visualisation de données)
Analyse et modélisation de séries temporelles
Programmation : Python, SQL, R

Profil recherché : 

Vous êtes de formation supérieure en Data Science, mathématiques/statistiques et/ou informatique.
Vous avez une première expérience sur du développement Python (stage & alternance accepté).
Vous disposez de connaissances solides en statistiques.
Vous êtes capable de présenter des démarches scientifiques complexes de manière synthétique, vulgarisée et pédagogique.",2025-06-24T09:43:08.207Z,,48.956508,2.532434,PETIT FORESTIER OFFICE,https://candidat.francetravail.fr/offres/recherche/detail/194HJWN,CDI,france_travail
194HFZT,Ingénieur-e  de recherche data-scientist h/f (H/F),"Pourquoi a-t-on besoin de vous ?
Au sein de la R&D de Saint-Gobain, léquipe Méthodes Avancées de Data-Science est un laboratoire au service de lensemble des activités du Groupe Saint-Gobain.

Nos experts utilisent la data-science au service de notre industrie, du développement des matériaux de demain, et de la transformation digitale du Groupe Saint-Gobain.

Dans ce cadre, vos missions seront les suivantes :

Proposer, cadrer et mener des projets de recherche appliquée liés à la data-science, allant de lanalyse de données à la création de modèles complexes.
Réaliser des prototypes dapplication et contribuer à leur industrialisation.
Communiquer pour partager les méthodes, les enjeux et les performances de la data-science et de ses applications.
Assurer une veille technologique et scientifique, développer des partenariats académiques.
Des déplacements ponctuels de courte durée sont à prévoir en France et à létranger (visites dusines, conférences, formations).

***

Within Saint-Gobain R&D, the Advanced Data Science Methods team is a laboratory serving all of the Saint-Gobain Group's activities. Our experts use data science to serve our industry, the development of tomorrow's materials, and the digital transformation of the Saint-Gobain Group. In this context, you will be required to:

Propose, frame and lead applied research projects related to data science, ranging from data analysis to the creation of complex models.
Produce application prototypes and contribute to their industrialization.
Communicate to share the methods, challenges and performances of data science and its applications.
Ensure technological and scientific monitoring, develop academic partnerships.
Occasional short trips are to be expected in France and abroad (plant visits, conferences, training courses, etc.).

Ce poste est-il fait pour vous ?
Vous êtes impérativement titulaire dun doctorat dans lun des domaines suivants : Physique, Statistiques, Machine-Learning, Mathématiques Appliquées ou autre discipline connexe.
Vous maîtrisez et comprenez les outils de machine-learning et les principes statistiques dont ils découlent.
Vous avez la passion des sciences, vous aimez comprendre comment fonctionnent les choses.
Vous aimez explorer et utiliser des algorithmes complexes mais savez être pragmatique pour appliquer une solution simple si elle a le niveau de performance attendu.
Vous aimez coder en Python.
Vous avez lagilité de travailler sur plusieurs projets en parallèle.
Vous êtes force de proposition, faites preuve de proactivité et dautonomie.
Vous aimez communiquer à l'écrit et à l'oral, vous maîtrisez le français et langlais.
***

You must have a PhD in one of the following fields: Physics, Statistics, Machine Learning, Applied Mathematics or another related discipline.
You master and understand machine learning tools and the statistical principles from which they derive.
You are passionate about science, you like to understand how things work.
You like to explore and use complex algorithms but know how to be pragmatic to apply a simple solution if it has the expected level of performance.
You like to code in Python.
You have the agility to work on several projects in parallel.
You are proactive and autonomous.
You like to communicate in writing and orally, you are fluent in French and English.",2025-06-24T07:59:24.399Z,,48.912878,2.386167,COMPAGNIE DE SAINT-GOBAIN,https://candidat.francetravail.fr/offres/recherche/detail/194HFZT,CDI,france_travail
194HCDV,Business Analyst Data (H/F),"Nous recrutons un Business Analyst Data pour intervenir sur l'analyse et la modélisation de données métiers dans un projet stratégique. Poste basé en France. Démarrage ASAP.

Expérience requise : minimum 3 ans.

Compétences requises :
Recueil et formalisation des besoins métier
Définition de KPI, reporting, modélisation fonctionnelle
Connaissance des outils BI (Power BI, Tableau)
Bonne maîtrise de SQL

Environnement technique : SQL, Power BI, Excel, Jira, Confluence

Rejoignez-nous pour faire le lien entre les enjeux métier et les solutions data performantes.",2025-06-23T17:47:44.680Z,,48.877008,2.337887,SEGMENT ELITE,https://candidat.francetravail.fr/offres/recherche/detail/194HCDV,CDI,france_travail
194HBZH,Chef de Projet Data (H/F),"Nous recrutons un Chef de Projet Data pour piloter la gouvernance et l'industrialisation de projets liés à la donnée pour un client grand compte. Poste basé en France. Démarrage ASAP.

Expérience requise : minimum 5 ans.

Compétences requises :
Pilotage de projets data (datawarehouse, data lake, BI)
Coordination d'équipes techniques (data engineer, analyst, BI)
Suivi de planning, risques, budgets
Maîtrise des outils de gestion projet (Jira, Confluence)

Environnement technique : Azure Data Factory, Power BI, SQL, Snowflake ou BigQuery

Rejoignez-nous pour structurer et valoriser la donnée dans un environnement métier exigeant.",2025-06-23T17:40:46.919Z,,48.877008,2.337887,SEGMENT ELITE,https://candidat.francetravail.fr/offres/recherche/detail/194HBZH,CDI,france_travail
194GZGJ,Data architect (H/F),"Nous recherchons un ingénieur ou une ingénieure Big Data passionné(e) par l'analyse de données et la gestion de projets. Vous intégrerez une équipe dynamique et innovante, où vous aurez l'opportunité de travailler sur des projets d'envergure utilisant les dernières technologies Big Data. Votre expertise sera essentielle pour transformer des données brutes en informations exploitables et stratégiques.

Vos missions :

- Concevoir et développer des pipelines ETL pour le traitement des données.
- Capacité à décliner les besoins auprès de l'équipe data client, l'équipe travaillant sur les data domaines servers et Workstation.
- Collaborer avec les équipes Agile pour définir les besoins en matière de données et assurer la livraison de solutions adaptées.
- Participer à la gestion de projet en suivant les méthodologies Agile, en assurant le respect des délais et la qualité des livrables.
- Travailler en étroite collaboration avec les parties prenantes pour comprendre leurs besoins et leur fournir un support technique.

Profil recherché :

- Diplôme en informatique, data science ou domaine connexe.
- Expérience significative dans un rôle similaire, avec une maîtrise des technologies Big Data notamment la CMDB.
- Compétences solides en analyse de données et esprit d'analyse développé.
- Connaissance approfondie des logiciel SNOW/ ITIL et Base CMDB embarquée.
- Capacité à travailler en équipe dans un environnement Agile.
- Excellentes compétences en communication, tant à l'oral qu'à l'écrit.

Si vous êtes motivé(e) par le challenge d'exploiter le potentiel des données au sein d'une entreprise innovante, nous serions ravis de recevoir votre candidature.",2025-06-23T16:59:58.621Z,,,,EPSYL,https://candidat.francetravail.fr/offres/recherche/detail/194GZGJ,CDI,france_travail
